Node,Metric,Mean,Median,Standard Deviation
56,degree,0.7285836906667313,0.976797706241598,0.13141599209086063
57,closeness,0.10950814707955447,0.11191887988288451,0.040276363599517195
57,clustering,0.008039482967532874,0.0006569216561899127,0.0012903861163995993
57,degree,0.3814320974228167,0.5207075951967397,0.11293756562998469
58,closeness,0.05816959467819305,0.06966962898295681,0.028658161213494807
58,clustering,0.0058706979379858915,0.008086841998379612,0.004565363981687101
58,degree,0.18658313695694773,0.2735235829060869,0.13819883657533616
59,closeness,0.08339305315486056,0.09755531225612657,0.05222268142426109
59,clustering,0.006856292325880475,0.005029169551139412,0.0051650207119359
59,degree,0.2654385287977874,0.2959900362853318,0.6736242944456969
60,closeness,0.045654970708924436,0.031850136807165086,0.06096956791288821
60,clustering,0.0024789051272405827,0.004918616536996545,0.007172567788231099
60,degree,0.45248009844146964,0.6921784224612182,0.6324262327452521
61,closeness,0.0870990138737675,0.06865646668800252,0.028260201727468293
61,clustering,0.0068162151288497785,0.004635051137216517,0.0007589724309110014
61,degree,0.2404769717042683,0.5617342331361925,0.018674807660069792
62,closeness,0.09073611527732117,0.06797340549743791,0.0278716454899003
62,clustering,0.012519847907669246,0.0055827936063769235,0.0015778865494388006
62,degree,1.2217070617311023,0.5672357047324965,0.13028246589287407
63,closeness,0.07721174944190135,0.0457408068721048,0.05685459326059701
63,clustering,0.007328712513257729,0.001998980636128911,0.0024875327160873983
63,degree,0.2919962999359029,1.0872872432202456,0.4733442833225885
64,closeness,0.07954512009282966,0.06454162704636812,0.041039805032738005
64,clustering,0.012961294000288337,0.00960216594965757,0.007412954892085
64,degree,1.3544171597347656,1.0987967435846002,0.9167121472640445
65,closeness,0.07329033705275334,0.029161542994678324,0.0414572520570969
65,clustering,0.012037352314529515,0.0031960977919480715,0.0087117900974435
65,degree,1.2436806037205486,0.06729420861715596,1.4593830774298127
66,closeness,0.0674345831591947,0.05996278921273568,0.020243854808228795
66,clustering,0.015139525760258676,0.013577207077075104,0.0020886377970004994
66,degree,1.884498438643618,1.7414973488798111,0.3229695621119908
67,closeness,0.06396593958761554,0.09200471142825606,0.0027395744061714244
67,clustering,0.010765388526797759,0.00033590400843808155,0.002398656419255598
67,degree,0.962419560202477,0.1690720102779295,0.5283412796353271
68,closeness,0.05543003029479587,0.07595696078086189,0.027030696398045312
68,clustering,0.01137386939570928,0.0071995196236595005,0.0019953805540902977
68,degree,1.1390355920269855,0.752654092480455,0.29688212839217654
69,closeness,0.08955878977829301,0.060130345291200316,0.1152596605550214
69,clustering,0.003944349558610893,0.003595696794611025,0.0116382757726145
69,degree,0.3220008509626311,0.34376922922677267,1.472529682117118
70,closeness,0.049481674053063474,0.013778748402768048,0.08097874648500611
70,clustering,0.0009591323291581189,0.0017338915461412308,0.0100570370803026
70,degree,0.6113746047078905,0.6689538641419901,1.1254066024265068
71,closeness,0.057282129277424154,0.036396332710405765,0.03873227930702551
71,clustering,0.014253362021181881,0.013061796757221966,0.005490608996346302
71,degree,1.8703180707018063,2.1855541028599745,1.0197476245259998
72,closeness,0.06490799889701915,0.04987509852830563,0.020035833528502314
72,clustering,0.01765133895260429,0.008345029469066345,0.002783907904163
72,degree,2.4912046734981317,1.2444669972331042,0.2618481598594644
73,closeness,0.058496336017766826,0.04136204518665054,0.02845313525772831
73,clustering,0.015906740699731303,0.01127597727695262,0.0031255559396521013
